Nr,Naam Usecase,Project Partners & Locatie,Type Robot,Radar (Status),Bouwtaak,Omschrijving & Impact
38,Op afstand bestuurbare Slooprobots,Brokk / Husqvarna (Globaal),Hybride Robots,Adopt,Sloop & Demontage,"Compacte robots op rupsbanden met zware sloophamers, bediend op veilige afstand. Deze elimineren het risico op instortingen of trillingsziektes (wittevingersyndroom) bij werknemers."
39,ANYmal (Industriële Inspectie),ANYbotics (Zwitserland),Overig (Quadruped),Trial / Adopt,Inspectie & inmeten,"Een robuuste robotische hond, ontworpen voor complexe industriële omgevingen. Ideaal voor het autonoom inspecteren van gevaarlijke of moeilijk bereikbare zones, zoals tunnels of energiecentrales in aanbouw."
40,Autonome Bouwplaats Rover,Scaled Robotics (Spanje / Globaal),Automated Guided Vehicles (AGV's),Trial,Inspectie & inmeten,Een compact voertuig dat autonoom over de bouwplaats rijdt om 3D-scans te maken. De software vergelijkt de gebouwde realiteit direct met het BIM-model om faalkosten in een vroeg stadium te voorkomen.
41,Schindler R.I.S.E,Schindler (Zwitserland / Globaal),Hybride Robots,Adopt,Installatie & montage,"Een autonome boorrobot (Robotic Installation System for Elevators) die zelfstandig de ruwe liftkoker scant en gaten boort voor de geleiderails. Haalt monteurs uit een repetitieve, gevaarlijke werkomgeving."
42,Baubot (Modulair Platform),Printstones (Oostenrijk),Automated Guided Vehicles (AGV's),Trial,Ruwbouw / Logistiek,"Een mobiel robotplatform op rupsbanden dat kan worden uitgerust met wisselbare robotarmen en tools (zoals frezen, boren of printen). Zeer flexibel voor wisselende omstandigheden op de bouwplaats."
43,Okibo Schilderrobot,Okibo (Israël),Hybride Robots,Trial,Afbouw,Een autonome mobiele robot die muren en plafonds in 3D inmeet en vervolgens zelfstandig pleisterwerk en verf aanbrengt. Dit elimineert de noodzaak voor schilders om dagenlang op steigers of trappen te werken.
44,Elios (Besloten Ruimtes),Flyability (Zwitserland),Overig (Drone),Adopt,Inspectie & inmeten,"Een inspectiedrone beschermd door een bolvormige kooi. Wordt gebruikt in de bouw om diepe schachten, leidingsystemen en kruipruimtes te inspecteren zonder dat mensen fysiek deze nauwe, gevaarlijke ruimtes in hoeven."
45,Autonoom Grondverzet,Caterpillar (Command) / Komatsu (USA / Japan),Automated Guided Vehicles (AGV's),Adopt,GWW & grondwerk,"Het automatiseren van zware graafmachines en bulldozers op grote infraprojecten. Ze voeren grondverzet op basis van GPS en 3D-modellen volledig autonoom uit, wat zorgt voor millimeterprecisie en veiligere werkterreinen."
46,Volautomatische Vlinderrobot,o.a. Wacker Neuson / Somero (Globaal),Hybride Robots,Trial / Adopt,Ruwbouw,"Zelfrijdende betonafwerkingsmachines (vlindermachines) die recent gestorte betonvloeren polijsten. Neemt zwaar trillend, nachtelijk werk over waarbij de operator normaal in een onnatuurlijke houding moet zitten."
47,Kite Robot,Kite Robotics (Nederland),Overig (Kabelrobot),Adopt,Renovatie & Onderhoud,Een geautomatiseerd was- en reinigingssysteem voor gevels en ramen dat via kabels langs het gebouw beweegt. Vervangt gevaarlijk werk waarbij glazenwassers in hangbakken op grote hoogte moeten werken.
48,C-Bot (Prefab Robotlassen),Diverse staalbouwers (Globaal),Articulated Robots,Adopt,In de fabriek (Prefab),"Het inzetten van industriële robotarmen om stalen constructiedelen (zoals HEA-balken) in de fabriek te lassen, rechtstreeks aangestuurd vanuit het BIM-model. Vangt het chronische tekort aan gecertificeerde lassers op."
49,Crawler Robots (Leidinginspectie),Diverse leveranciers (o.a. IBAK) (Globaal),Automated Guided Vehicles (AGV's),Adopt,Inspectie & inmeten,"Kleine wagentjes op wielen of rupsbanden, voorzien van camera's, die door nieuw aangelegde buizen en rioleringen rijden om direct kwaliteitscontroles uit te voeren zonder graafwerk achteraf."
50,AI-Kranen (Vita Load Navigator),Vita Inclinata (USA),Overig (Slim hijsen),Adopt,Logistiek & ondersteuning,"Een systeem met actuatoren en AI dat aan de haak van een hijskraan hangt en grote lasten (zoals prefab betonplaten) volautomatisch stabiliseert, zelfs bij harde wind. Voorkomt dodelijke ongevallen en ontlast de kraanmachinist."
51,SkyMul SkyTy,SkyMul (Globaal / USA),Overig (Drones),Trial / Concept,GWW & Ruwbouw,"Een zwerm drones ontworpen om autonoom wapeningsstaal (rebar) te detecteren en te vlechten vanuit de lucht. Dit versnelt de productiviteit en haalt werknemers weg van zware, repetitieve taken op de grond en oneffen terrein."
52,BackX (SuitX / U.S. Bionics),SuitX (Globaal),Overig (Passief Exoskelet),Adopt,GWW & Ruwbouw,"Een passief draagbaar exoskelet dat specifiek de onderrug mechanisch ondersteunt tijdens langdurig voorovergebogen werk, zoals het vlechten van staal of handmatig bestraten. Het verlaagt het risico op spier- en gewrichtsklachten aanzienlijk."
53,Hilti EXO-01,Hilti (Globaal),Overig (Passief Exoskelet),Adopt,Installatie & montage,"Een draagbaar exoskelet ontworpen om de armen en schouders te ondersteunen bij zwaar, repetitief bovenhands werk (zoals gaten boren in plafonds of leidingen installeren), wat vermoeidheid en blessures bij installateurs voorkomt."
54,Unitree G1 / H1,Unitree Robotics (Globaal),Humanoïde robots,Concept / Trial,Logistiek & Inspectie,"Betaalbare en uiterst wendbare humanoïde robots met AI, ontworpen om te navigeren in complexe en ongestructureerde bouwomgevingen. Ze bieden potentie voor autonome inspectierondes of het verplaatsen van bouwmaterialen."
55,Neura 4NE-1,Neura Robotics (Duitsland / Globaal),Humanoïde robots,Concept / Trial,Logistiek & ondersteuning,Een cognitieve humanoïde robot die is uitgerust met geavanceerde sensoren om veilig en naadloos met mensen samen te werken. Gericht op materiaalverwerking en het assisteren van vakmensen om fysieke overbelasting te voorkomen.
56,Toggle (Robotic Rebar Prefabrication),"Toggle (New York, USA)",Articulated Robots (Robotarmen),Adopt,In de fabriek (Prefab),Het inzetten van industriële robotarmen gecombineerd met slimme software om wapeningskorven voor betonconstructies in de fabriek te prefabriceren. Dit verdubbelt de productiesnelheid en zorgt voor een veel veiligere werkomgeving ten opzichte van de bouwplaats.
57,Apis Cor 3D-printer,Apis Cor (Globaal / USA),Articulated Robots / Overig,Adopt,Ruwbouw,"Een compacte, kraan-achtige 3D-betonprinter die op de bouwplaats volledige dragende muren en gebouwstructuren uitprint. Minimaliseert logistieke bewegingen, materiaalverspilling en verlaagt de benodigde handmatige arbeidskracht."
58,Teleo (Semi-Autonoom Retrofit Systeem),Teleo (Globaal / USA),Hybride / AGV,Trial / Adopt,GWW & grondwerk,Aftermarket retrofit-kits die bestaande zware bouwmachines (zoals laders en bulldozers) transformeren naar semi-autonome of op afstand bestuurbare apparaten. Operators kunnen vanuit een veilige kantooromgeving meerdere machines tegelijk bedienen.
59,Q-Bot Vloerisolatie Robot,Q-Bot (VK / Europa),Automated Guided Vehicles (Crawler),Adopt,Renovatie & Onderhoud,"Een kleine, op afstand bestuurbare robot op wielen die in extreem krappe kruipruimtes onder vloeren wordt gestuurd om veilig isolatieschuim aan te brengen. Voorkomt dat mensen in ongezonde en gevaarlijke ruimtes hoeven te werken."
60,Branch Technology (C-Fab),Branch Technology (USA),Articulated Robots,Adopt,In de fabriek (Prefab),"Maakt gebruik van gigantische industriële robotarmen voor ""Cellular Fabrication"". Er worden lichte maar enorm sterke 3D-geprinte polymeermatrix-structuren gemaakt voor gevels. Dit combineert enorme architectonische ontwerpvrijheid met drastische materiaalreductie."
61,Sarcos Guardian XO,Sarcos Robotics (Globaal),Actief Exoskelet,Trial / Concept,Logistiek & ondersteuning,"Een aangedreven (actief) exoskelet dat de drager in staat stelt om zware bouwmaterialen (tot wel 90 kg) herhaaldelijk te tillen zonder fysieke inspanning, ter voorkoming van ernstige rugklachten."
62,OTTO 1500 AMR,OTTO Motors (Globaal),Automated Guided Vehicles (AGV's),Adopt,In de fabriek (Prefab),"Zware autonome mobiele robots die in prefab-fabrieken en grote logistieke hubs ladingen tot 1500 kg zelfstandig verplaatsen, wat onveilige handmatige vorkheftrucks op de werkvloer vervangt."
63,Doxel AI Rover,Doxel (USA),Automated Guided Vehicles (AGV's),Adopt,Inspectie & inmeten,Een autonome robot op rupsbanden die na sluitingstijd de ruwbouw scant met LiDAR en camera's. De AI vergelijkt de scans met de BIM-planning om de voortgang en kwaliteit dagelijks te bewaken.
64,Ekso Bionics EVO,Ekso Bionics (Globaal),Overig (Passief Exoskelet),Adopt,Installatie & montage,"Een lichtgewicht, passief exoskelet specifiek ontworpen om de druk en vermoeidheid in schouders en armen drastisch te verminderen bij langdurig bovenhands werk (zoals plafondplaten of installatietechniek)."
65,Clearpath Husky UGV,Clearpath Robotics (Canada),Automated Guided Vehicles (AGV's),Trial,GWW & grondwerk,Een robuust onbemand grondvoertuig (UGV) dat in zeer ruw terrein kan opereren. Wordt ingezet als autonome lastdrager voor zwaar gereedschap of uitgerust met sensoren voor complexe landmetingen.
66,TraceAir Drone Intelligence,TraceAir (USA),Overig (Drones),Adopt,Inspectie & inmeten,Een drone- en AI-platform dat autonoom grote infra-projecten scant. Het automatiseert volumemetingen van grondverzet en optimaliseert de inzet van zwaar materieel.
67,Volvo EX03 Electric Concept,Volvo Construction Equipment (Globaal),Hybride Robots,Concept / Trial,GWW & grondwerk,"Een middelgrote (14 ton) elektrische graafmachine die is ontwikkeld als testplatform voor toekomstige geautomatiseerde en deels autonome, emissievrije graaftaken in stedelijke gebieden."
68,Robo-Mate,Europees Onderzoeksconsortium (EU),Actief Exoskelet,Trial,Logistiek & ondersteuning,"Een door de EU gefinancierd project dat actieve exoskeletten ontwikkelt speciaal voor de bouw en industrie, om zware lasten virtueel gewichtloos te maken voor de drager."
69,Quasi AI Model C2,Quasi Robotics (Globaal),Automated Guided Vehicles (AGV's),Trial / Adopt,Logistiek & ondersteuning,"Een AMR gedreven door traceerbare, algoritmische AI (afgestemd op compliance met de EU AI Act) voor het veilig en autonoom verplaatsen van onderdelen en materialen in dynamische omgevingen."
70,Noetix Bumi,Noetix (Globaal),Humanoïde robots,Concept,Logistiek & inspectie,"Gepositioneerd als een van de meest betaalbare humanoïde instapmodellen (zoals uitgelicht in marktrapporten voor 2026), ontworpen voor logistieke en repetitieve inspectietaken en ideaal voor vroege pilotprojecten in de bouw."
71,KUKA KR QUANTEC (Prefab Houtbouw),KUKA (Globaal) / Diverse houtbouwers,Articulated Robots (Robotarmen),Adopt,In de fabriek (Prefab),"Zware, industriële robotarmen die in de fabriek worden ingezet voor het volautomatisch frezen, zagen en assembleren van houtskeletbouw en CLT-panelen (Cross-Laminated Timber). Dit versnelt de transitie naar duurzame, modulaire houtbouw."
72,PACO Schilderrobot,Les Compagnons (Frankrijk / Europa),Hybride Robots (Cobot),Trial / Adopt,Afbouw,"Een collaboratieve schilderrobot (cobot) die schilders helpt bij het sausen van grote, eentonige wandoppervlakken. De vakman doet het precisiewerk (de randen), terwijl PACO de grote meters maakt, wat RSI en schouderklachten voorkomt."
73,Gecko Robotics (Inspectie Crawler),Gecko Robotics (Globaal),Automated Guided Vehicles (Wall-crawler),Adopt,Inspectie & inmeten,"Magnetische en vacuüm-gebaseerde kruiprobots die verticaal tegen stalen constructies, silo's en pijpleidingen opklimmen om ultrasone wanddiktemetingen en lasinspecties uit te voeren. Vervangt levensgevaarlijk inspectiewerk op extreme hoogtes."
74,HausBots (Gevelrobot),HausBots (Verenigd Koninkrijk),Overig (Wall-crawler),Trial / Adopt,Renovatie & Onderhoud,Een robot die via een krachtig vacuümsysteem tegen vrijwel elk verticaal oppervlak kan rijden (inclusief baksteen en beton) om verf te spuiten of vochtwerende coatings aan te brengen. Maakt dure en tijdrovende steigerbouw vaak overbodig.
75,Makita Industriële Robotstofzuiger (DRC-serie),Makita (Globaal),Automated Guided Vehicles (AGV's),Adopt,Logistiek & ondersteuning (Schoonmaak),"Autonome, zware stofzuigrobots die op de bouwplaats na werktijd zelfstandig magazijnen, in aanbouw zijnde hallen of werkplaatsen stofvrij maken. Draagt bij aan een veiligere en gezondere (stofvrije) werkomgeving zonder extra manuren."
76,Outrider (Autonome Yard Trucks),Outrider (USA),Automated Guided Vehicles (Autonome Voertuigen),Trial / Adopt,Logistiek & ondersteuning,"Geautomatiseerde, elektrische vrachtwagentjes (yard trucks) die op grote materiaaldepots en prefab-werven zelfstandig trailers met bouwmaterialen aan- en afkoppelen en verplaatsen. Optimaliseert de logistieke stroom naar de bouwplaats."
77,SmartLift (Geautomatiseerde Glas- en Platenlift),SmartLift (Denemarken / Globaal),Hybride Robots,Adopt,Installatie & montage,"Geavanceerde, deels autonome tilhulpen op wielen die loodzware glasplaten of gevelelementen exact op de millimeter positioneren. Vermindert het aantal benodigde monteurs per ruit en elimineert het risico op ruitschade en fysieke overbelasting."
78,Emesent Hovermap (SLAM Drones),Emesent (Australië / Globaal),Overig (Drones / Scanner),Adopt,Inspectie & inmeten,"Een geavanceerde LiDAR-scanner die aan drones of robots (zoals Spot) wordt gehangen en via SLAM-technologie (Simultaneous Localization and Mapping) autonoom door donkere, GPS-loze omgevingen navigeert, zoals tunnels en schachten in aanbouw."
79,Autonome Bermmaaier (Infra & GWW),Diverse leveranciers (o.a. Herder / Husqvarna),Automated Guided Vehicles (AGV's),Trial / Adopt,GWW & grondwerk / Onderhoud,"Zelfrijdende, vaak rupsaangedreven maairobots die veilig kunnen werken op steile taluds langs snelwegen. Ze halen de operator uit een gevaarlijke hellingshoek en voorkomen ongelukken met kantelende tractoren."
80,Unitree B2 (Industriële Robothond),Unitree Robotics (Globaal),Overig (Quadruped),Adopt,Inspectie & inmeten,"Een robuuste, vierbenige robot (vergelijkbaar met Boston Dynamics Spot, maar vaak toegankelijker geprijsd) die door de modder en over puin loopt om 3D-scans en veiligheidsinspecties uit te voeren op ruwe infrastructuurprojecten."
81,ICON Vulcan (3D-printer),"ICON (Texas, USA / Globaal)",Overig (Gantry / Portaalsysteem),Adopt,Ruwbouw,"Een grootschalige, weersbestendige 3D-betonprinter die ter plaatse complete woningen print. ICON is bekend van het bouwen van de grootste 3D-geprinte wijk ter wereld (100 huizen in Texas) en verlaagt bouwtijd en afval aanzienlijk."
82,Aquajet Aqua Cutter,Aquajet Systems (Zweden / Globaal),Automated Guided Vehicles (Crawler),Adopt,Sloop & Demontage / Renovatie,"Een hydrodemolition (hogedruk waterstraal) robot op rupsbanden. Deze robot verwijdert autonoom en met uiterste precisie beschadigd beton rondom wapeningsstaal zonder de constructie te beschadigen, wat veel veiliger is dan handmatig hakken."
83,Odico Formwork Robotics,Odico (Denemarken),Articulated Robots,Adopt,In de fabriek (Prefab),"Deze industriële robotarmen gebruiken verhitte draden (hot-wire cutting) of frezen om razendsnel complexe, op maat gemaakte bekistingen (zoals EPS/piepschuim) te snijden voor uitdagende betonvormen. Versnelt de voorbereiding van complexe architectuur."
84,Civ Robotics (CivDot),Civ Robotics (USA),Automated Guided Vehicles (AGV's),Adopt,Inspectie & inmeten / GWW,"Een autonome landmeet-rover ontworpen voor zware infrastructuur, zoals het uitzetten van zonneparken of snelwegen. De rover spuit verf of slaat zelfstandig markeerpinnen in de grond, wat het handmatige werk van landmeters in ruw terrein versnelt."
85,ULC Technologies CISBOT,ULC Technologies (USA / UK),Overig (Pijpleiding Crawler),Adopt,GWW & grondwerk / Onderhoud,"Cast Iron Sealing Bot (CISBOT) rijdt door ondergrondse, actieve gasleidingen om deze van binnenuit autonoom te repareren en te dichten. Hierdoor hoeven wegen niet over grote afstanden te worden opengebroken, wat enorme overlast en kosten bespaart."
86,Skelex 360,Skelex (Nederland / Europa),Overig (Passief Exoskelet),Adopt,Installatie & montage,"Een geavanceerd biomechanisch exoskelet dat speciaal is ontworpen om het gewicht van de armen op te vangen en over te dragen naar de heupen. Ideaal voor lassers, monteurs en schilders die urenlang boven hun macht moeten werken."
87,Rugged Robotics (Marking Rover),"Rugged Robotics (Texas, USA)",Automated Guided Vehicles (AGV's),Trial / Adopt,Inspectie & inmeten,"Vergelijkbaar met HP SitePrint, maar met een robuuster ontwerp op kleine rupsbanden/wielen. Print complete CAD-plattegronden, inclusief tekst en muurcontouren, direct op de betonnen ruwbouwvloer om de faalkosten in de installatiefase te minimaliseren."
88,WASP (Crane WASP),WASP (Italië),Overig (Kabel/Portaal 3D-printer),Trial / Adopt,Ruwbouw,"Een innovatieve 3D-printer die gebruikmaakt van lokale, duurzame materialen zoals leem, klei en landbouwafval om eco-vriendelijke, klimaatneutrale huizen te printen. Perfect voor circulaire bouwprojecten."
89,Diamond Age (Factory-in-the-Field),Diamond Age (USA),Hybride / Gantry met Robotarmen,Trial / Concept,Ruwbouw & Afbouw,"Een enorm overkappend portaalsysteem dat eerst de binnen- en buitenmuren 3D-print met beton, om vervolgens via een gereedschapswissel (robotarmen) zelfstandig isolatie aan te brengen en sparingen voor kozijnen te frezen."
90,nLink Drillbotics,nLink (Noorwegen),Hybride Robots,Adopt,Installatie & montage,"Een mobiele boorrobot vergelijkbaar met de Hilti Jaibot. Aangestuurd door laser-positionering en BIM, boort deze robot automatisch duizenden gaten in harde betonnen plafonds voor het ophangen van ventilatie-, kabel- of leidinggoten."
91,Honda AWV (Autonomous Work Vehicle),"Honda, Black & Veatch (USA / Globaal)",Automated Guided Vehicles (AGV's),Trial / Adopt,Logistiek & ondersteuning,"Een robuust, zelfrijdend elektrisch voertuig met laadbak dat autonoom zware bouwmaterialen en water over zeer ruw terrein naar de juiste werkplek navigeert, wat de efficiëntie van de werflogistiek aanzienlijk verbetert."
92,Ghost Robotics Vision 60,Ghost Robotics (USA / Globaal),Overig (Quadruped),Adopt,Beveiliging & Inspectie,"Een extreem weerbestendige en robuuste robothond. Deze robot patrouilleert vaak na de reguliere werkuren autonoom over de bouwplaats voor diefstalpreventie, veiligheidsinspecties en het inmeten van de voortgang."
93,Levitate AIRFRAME,Levitate Technologies (USA / Globaal),Overig (Passief Exoskelet),Adopt,Installatie & montage,"Een lichtgewicht, biomechanisch exoskelet dat specifiek ontworpen is om het gewicht van de armen en het gereedschap op te vangen. Het voorkomt spiervermoeidheid en schouderblessures bij langdurig bovenhands installatiewerk."
94,Epiroc Geautomatiseerde Boorinstallaties,Epiroc (Zweden / Globaal),Automated Guided Vehicles (AGV's) / Hybride,Adopt,GWW & grondwerk (Tunnels),"Zware, computergestuurde boormachines voor tunnelbouw en mijnbouw. Ze werken complexe, voorgeprogrammeerde boorpatronen in rotswanden met uiterste precisie af, waardoor operators buiten de gevarenzone kunnen blijven."
